student_track_id,student_id,track_id,date_enrolled,date_completed,track_id,track_name,track_complete,days_for_completion,completion_bucket
1,6,3,2022-09-16,NULL,3,"Business Analyst",0,NULL,NULL
2,6,1,2022-09-16,NULL,1,"Data Scientist",0,NULL,NULL
3,20,2,2022-02-25,NULL,2,"Data Analyst",0,NULL,NULL
4,31,2,2022-04-02,NULL,2,"Data Analyst",0,NULL,NULL
5,209,3,2022-06-02,NULL,3,"Business Analyst",0,NULL,NULL
6,209,1,2022-01-28,NULL,1,"Data Scientist",0,NULL,NULL
7,221,2,2022-02-13,NULL,2,"Data Analyst",0,NULL,NULL
8,326,2,2022-03-29,NULL,2,"Data Analyst",0,NULL,NULL
9,353,2,2022-07-07,NULL,2,"Data Analyst",0,NULL,NULL
10,454,2,2022-02-03,NULL,2,"Data Analyst",0,NULL,NULL
11,492,1,2022-03-06,NULL,1,"Data Scientist",0,NULL,NULL
12,616,2,2022-04-03,NULL,2,"Data Analyst",0,NULL,NULL
13,702,1,2022-05-21,NULL,1,"Data Scientist",0,NULL,NULL
14,704,1,2022-08-11,NULL,1,"Data Scientist",0,NULL,NULL
15,768,3,2022-07-20,NULL,3,"Business Analyst",0,NULL,NULL
16,801,3,2022-01-17,NULL,3,"Business Analyst",0,NULL,NULL
17,801,2,2022-01-17,NULL,2,"Data Analyst",0,NULL,NULL
18,801,1,2022-01-16,NULL,1,"Data Scientist",0,NULL,NULL
19,813,2,2022-01-20,NULL,2,"Data Analyst",0,NULL,NULL
20,816,2,2022-01-04,NULL,2,"Data Analyst",0,NULL,NULL
21,872,2,2022-09-27,NULL,2,"Data Analyst",0,NULL,NULL
22,893,1,2022-07-20,NULL,1,"Data Scientist",0,NULL,NULL
23,897,1,2022-08-19,NULL,1,"Data Scientist",0,NULL,NULL
24,911,2,2022-03-22,NULL,2,"Data Analyst",0,NULL,NULL
25,1019,3,2022-05-11,NULL,3,"Business Analyst",0,NULL,NULL
26,1019,2,2022-03-05,NULL,2,"Data Analyst",0,NULL,NULL
27,1019,1,2022-03-27,NULL,1,"Data Scientist",0,NULL,NULL
28,1035,3,2022-01-10,NULL,3,"Business Analyst",0,NULL,NULL
29,1099,2,2022-01-27,NULL,2,"Data Analyst",0,NULL,NULL
30,1102,3,2022-01-16,NULL,3,"Business Analyst",0,NULL,NULL
31,1102,2,2022-01-16,NULL,2,"Data Analyst",0,NULL,NULL
32,1102,1,2022-01-16,NULL,1,"Data Scientist",0,NULL,NULL
33,1159,2,2022-06-01,NULL,2,"Data Analyst",0,NULL,NULL
34,1173,3,2022-09-11,NULL,3,"Business Analyst",0,NULL,NULL
35,1221,1,2022-03-23,NULL,1,"Data Scientist",0,NULL,NULL
36,1235,1,2022-03-15,NULL,1,"Data Scientist",0,NULL,NULL
37,1246,2,2022-05-16,NULL,2,"Data Analyst",0,NULL,NULL
38,1270,2,2022-09-12,NULL,2,"Data Analyst",0,NULL,NULL
39,1289,2,2022-07-12,NULL,2,"Data Analyst",0,NULL,NULL
40,1306,2,2022-10-09,NULL,2,"Data Analyst",0,NULL,NULL
41,1314,2,2022-06-24,NULL,2,"Data Analyst",0,NULL,NULL
42,1362,1,2022-10-16,NULL,1,"Data Scientist",0,NULL,NULL
43,1363,3,2022-04-16,NULL,3,"Business Analyst",0,NULL,NULL
44,1370,1,2022-08-15,NULL,1,"Data Scientist",0,NULL,NULL
45,1411,1,2022-02-14,NULL,1,"Data Scientist",0,NULL,NULL
46,1468,1,2022-09-14,NULL,1,"Data Scientist",0,NULL,NULL
47,1486,2,2022-09-04,NULL,2,"Data Analyst",0,NULL,NULL
48,1486,1,2022-02-06,NULL,1,"Data Scientist",0,NULL,NULL
49,1498,3,2022-04-03,NULL,3,"Business Analyst",0,NULL,NULL
50,1500,2,2022-07-20,NULL,2,"Data Analyst",0,NULL,NULL
51,1501,2,2022-08-23,NULL,2,"Data Analyst",0,NULL,NULL
52,1503,2,2022-04-01,NULL,2,"Data Analyst",0,NULL,NULL
53,1517,2,2022-01-20,NULL,2,"Data Analyst",0,NULL,NULL
54,1517,1,2022-01-22,NULL,1,"Data Scientist",0,NULL,NULL
55,1521,2,2022-04-05,2023-05-16,2,"Data Analyst",1,406,"366+ days"
56,1522,3,2022-04-27,NULL,3,"Business Analyst",0,NULL,NULL
57,1522,1,2022-04-27,NULL,1,"Data Scientist",0,NULL,NULL
58,1537,1,2022-02-14,NULL,1,"Data Scientist",0,NULL,NULL
59,1538,3,2022-08-23,NULL,3,"Business Analyst",0,NULL,NULL
60,1538,2,2022-08-22,NULL,2,"Data Analyst",0,NULL,NULL
61,1538,1,2022-08-23,NULL,1,"Data Scientist",0,NULL,NULL
62,1540,1,2022-01-14,NULL,1,"Data Scientist",0,NULL,NULL
63,1552,1,2022-03-15,NULL,1,"Data Scientist",0,NULL,NULL
64,1559,2,2022-02-01,NULL,2,"Data Analyst",0,NULL,NULL
65,1561,3,2022-08-07,NULL,3,"Business Analyst",0,NULL,NULL
66,1563,1,2022-06-26,NULL,1,"Data Scientist",0,NULL,NULL
67,1578,2,2022-01-12,NULL,2,"Data Analyst",0,NULL,NULL
68,1600,2,2022-03-07,NULL,2,"Data Analyst",0,NULL,NULL
69,1791,1,2022-07-28,NULL,1,"Data Scientist",0,NULL,NULL
70,1795,2,2022-01-03,NULL,2,"Data Analyst",0,NULL,NULL
71,1802,2,2022-06-27,NULL,2,"Data Analyst",0,NULL,NULL
72,1809,1,2022-09-27,NULL,1,"Data Scientist",0,NULL,NULL
73,1852,3,2022-04-15,NULL,3,"Business Analyst",0,NULL,NULL
74,1863,2,2022-02-14,NULL,2,"Data Analyst",0,NULL,NULL
75,1866,2,2022-03-16,NULL,2,"Data Analyst",0,NULL,NULL
76,1879,3,2022-05-09,NULL,3,"Business Analyst",0,NULL,NULL
77,1879,2,2022-05-09,NULL,2,"Data Analyst",0,NULL,NULL
78,1879,1,2022-05-09,NULL,1,"Data Scientist",0,NULL,NULL
79,1901,2,2022-10-08,NULL,2,"Data Analyst",0,NULL,NULL
80,1901,1,2022-07-15,NULL,1,"Data Scientist",0,NULL,NULL
81,1909,3,2022-07-14,NULL,3,"Business Analyst",0,NULL,NULL
82,1909,2,2022-08-24,NULL,2,"Data Analyst",0,NULL,NULL
83,1914,2,2022-03-26,NULL,2,"Data Analyst",0,NULL,NULL
84,1949,3,2022-08-15,NULL,3,"Business Analyst",0,NULL,NULL
85,1949,2,2022-08-11,NULL,2,"Data Analyst",0,NULL,NULL
86,1956,2,2022-06-02,NULL,2,"Data Analyst",0,NULL,NULL
87,2014,3,2022-04-20,NULL,3,"Business Analyst",0,NULL,NULL
88,2014,2,2022-04-20,NULL,2,"Data Analyst",0,NULL,NULL
89,2018,2,2022-06-02,NULL,2,"Data Analyst",0,NULL,NULL
90,2019,2,2022-01-18,NULL,2,"Data Analyst",0,NULL,NULL
91,2073,1,2022-01-01,NULL,1,"Data Scientist",0,NULL,NULL
92,2084,2,2022-06-26,NULL,2,"Data Analyst",0,NULL,NULL
93,2084,1,2022-06-26,NULL,1,"Data Scientist",0,NULL,NULL
94,2091,2,2022-06-12,NULL,2,"Data Analyst",0,NULL,NULL
95,2091,1,2022-09-09,NULL,1,"Data Scientist",0,NULL,NULL
96,2110,1,2022-09-26,NULL,1,"Data Scientist",0,NULL,NULL
